STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,6,1282700,0,0,VILLAGE,Pallathividuthy ,Rural,424,1868,937,931,183,94,89,212,108,104,0,0,0,1311,758,553,557,179,378,1089,576,513,1045,561,484,723,384,339,186,97,89,4,3,1,132,77,55,44,15,29,16,7,9,27,8,19,0,0,0,1,0,1,779,361,418
33,22,6,1282800,0,0,VILLAGE,Pathampatti,Rural,307,1473,738,735,121,65,56,136,62,74,0,0,0,1044,569,475,429,169,260,485,402,83,452,375,77,302,267,35,43,35,8,0,0,0,107,73,34,33,27,6,3,2,1,19,17,2,2,1,1,9,7,2,988,336,652
33,22,6,1282900,0,0,VILLAGE,Kuppagudi,Rural,694,3058,1487,1571,333,148,185,620,312,308,0,0,0,1912,1102,810,1146,385,761,953,758,195,841,725,116,282,247,35,356,303,53,1,1,0,202,174,28,112,33,79,10,1,9,99,32,67,3,0,3,0,0,0,2105,729,1376
33,22,6,1283000,0,0,VILLAGE,Ayipatti,Rural,67,329,159,170,23,11,12,252,122,130,0,0,0,235,129,106,94,30,64,173,96,77,50,45,5,39,37,2,2,2,0,0,0,0,9,6,3,123,51,72,29,22,7,93,28,65,1,1,0,0,0,0,156,63,93
33,22,6,1283100,0,0,VILLAGE,Kovilur Devasthanam,Rural,300,1347,664,683,155,81,74,591,290,301,0,0,0,965,528,437,382,136,246,783,414,369,778,410,368,393,213,180,273,110,163,9,1,8,103,86,17,5,4,1,2,2,0,1,0,1,1,1,0,1,1,0,564,250,314
33,22,6,1283200,0,0,VILLAGE,Kovilur,Rural,717,3038,1497,1541,384,179,205,177,92,85,13,6,7,1974,1156,818,1064,341,723,1798,929,869,1645,884,761,827,460,367,746,377,369,1,1,0,71,46,25,153,45,108,9,4,5,144,41,103,0,0,0,0,0,0,1240,568,672
33,22,6,1283300,0,0,VILLAGE,Kothakottai,Rural,975,4416,2255,2161,542,296,246,307,160,147,0,0,0,2762,1620,1142,1654,635,1019,2773,1457,1316,2734,1445,1289,1043,555,488,1566,789,777,16,10,6,109,91,18,39,12,27,0,0,0,36,9,27,0,0,0,3,3,0,1643,798,845
33,22,6,1283400,0,0,VILLAGE,Manjanviduthy,Rural,687,3281,1638,1643,395,188,207,677,319,358,0,0,0,2237,1269,968,1044,369,675,1698,1002,696,1308,882,426,451,279,172,687,458,229,16,8,8,154,137,17,390,120,270,44,14,30,325,94,231,8,5,3,13,7,6,1583,636,947
33,22,6,1283500,0,0,VILLAGE,Kayampatti,Rural,302,1540,786,754,298,172,126,0,0,0,0,0,0,699,440,259,841,346,495,493,393,100,469,383,86,120,111,9,144,88,56,170,155,15,35,29,6,24,10,14,5,4,1,17,5,12,0,0,0,2,1,1,1047,393,654
33,22,6,1283600,0,0,VILLAGE,Veppankudi,Rural,857,4249,2062,2187,561,250,311,462,210,252,0,0,0,2575,1536,1039,1674,526,1148,1951,1142,809,1836,1082,754,951,489,462,360,201,159,15,11,4,510,381,129,115,60,55,28,11,17,63,28,35,1,1,0,23,20,3,2298,920,1378
33,22,6,1283700,0,0,VILLAGE,Immanampatti,Rural,35,149,78,71,22,13,9,0,0,0,0,0,0,97,60,37,52,18,34,89,49,40,88,49,39,66,37,29,21,11,10,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,60,29,31
33,22,6,1283800,0,0,VILLAGE,Thiruvarangulam,Rural,1017,4493,2284,2209,533,290,243,270,146,124,0,0,0,3262,1810,1452,1231,474,757,1753,1276,477,1591,1216,375,537,303,234,177,100,77,13,10,3,864,803,61,162,60,102,25,10,15,52,9,43,4,1,3,81,40,41,2740,1008,1732
33,22,6,1283900,0,0,VILLAGE,Thirukkattalai,Rural,677,3300,1599,1701,432,195,237,783,379,404,0,0,0,2124,1194,930,1176,405,771,1165,866,299,1029,817,212,172,113,59,106,72,34,13,6,7,738,626,112,136,49,87,7,2,5,19,8,11,0,0,0,110,39,71,2135,733,1402
33,22,6,1284000,0,0,VILLAGE,Kaikurichi,Rural,391,1740,871,869,207,106,101,753,373,380,0,0,0,1089,635,454,651,236,415,662,470,192,407,348,59,132,114,18,50,48,2,28,13,15,197,173,24,255,122,133,39,9,30,131,54,77,1,0,1,84,59,25,1078,401,677
33,22,6,1284100,0,0,VILLAGE,Vijayaragunathapuram,Rural,132,651,336,315,89,46,43,233,123,110,0,0,0,373,229,144,278,107,171,394,204,190,386,201,185,104,53,51,257,132,125,10,6,4,15,10,5,8,3,5,0,0,0,8,3,5,0,0,0,0,0,0,257,132,125
33,22,6,1284300,0,0,VILLAGE,Puravasagudy,Rural,555,2595,1312,1283,258,130,128,384,193,191,0,0,0,1696,1007,689,899,305,594,981,701,280,495,324,171,112,59,53,227,124,103,7,5,2,149,136,13,486,377,109,115,107,8,324,225,99,14,14,0,33,31,2,1614,611,1003
33,22,6,1284400,0,0,VILLAGE,Maniambalam,Rural,160,653,332,321,77,42,35,119,64,55,0,0,0,456,274,182,197,58,139,263,173,90,182,164,18,121,109,12,12,10,2,3,3,0,46,42,4,81,9,72,4,0,4,77,9,68,0,0,0,0,0,0,390,159,231
33,22,6,1284500,0,0,VILLAGE,Vandakottai,Rural,229,1068,561,507,145,81,64,265,140,125,0,0,0,650,400,250,418,161,257,437,276,161,290,207,83,154,112,42,57,29,28,5,4,1,74,62,12,147,69,78,12,8,4,118,48,70,3,1,2,14,12,2,631,285,346
33,22,6,1284600,0,0,VILLAGE,Vallathirakottai,Rural,391,1919,1018,901,177,85,92,845,455,390,0,0,0,1530,908,622,389,110,279,926,559,367,581,449,132,256,205,51,176,113,63,0,0,0,149,131,18,345,110,235,22,14,8,320,93,227,0,0,0,3,3,0,993,459,534
33,22,6,1284700,0,0,VILLAGE,Kalangudi,Rural,128,655,332,323,83,43,40,296,155,141,0,0,0,478,276,202,177,56,121,359,206,153,333,186,147,204,118,86,114,61,53,1,0,1,14,7,7,26,20,6,19,16,3,7,4,3,0,0,0,0,0,0,296,126,170
33,22,6,1284800,0,0,VILLAGE,Kanniyapatti,Rural,146,665,336,329,85,44,41,141,69,72,0,0,0,485,277,208,180,59,121,215,203,12,215,203,12,103,100,3,90,81,9,2,2,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,133,317
33,22,6,1284900,0,0,VILLAGE,Nambukuli,Rural,78,353,174,179,36,20,16,42,19,23,0,0,0,202,118,84,151,56,95,123,110,13,122,110,12,103,98,5,9,5,4,0,0,0,10,7,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,230,64,166
