STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,1,1240300,0,0,VILLAGE,Kongudippatti,Rural,116,609,301,308,84,40,44,100,50,50,0,0,0,358,229,129,251,72,179,372,185,187,371,185,186,236,107,129,17,2,15,92,53,39,26,23,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,237,116,121
33,22,1,1240400,0,0,VILLAGE,Pakkudi,Rural,258,1336,667,669,191,95,96,163,84,79,0,0,0,622,362,260,714,305,409,825,414,411,774,403,371,560,291,269,76,37,39,43,22,21,95,53,42,51,11,40,13,2,11,35,7,28,0,0,0,3,2,1,511,253,258
33,22,1,1240500,0,0,VILLAGE,Marudampatti,Rural,196,996,507,489,134,71,63,220,113,107,0,0,0,570,334,236,426,173,253,592,291,301,588,289,299,513,240,273,29,10,19,6,4,2,40,35,5,4,2,2,1,1,0,3,1,2,0,0,0,0,0,0,404,216,188
33,22,1,1240600,0,0,VILLAGE,Vilappatti,Rural,244,1208,601,607,147,76,71,127,66,61,0,0,0,673,387,286,535,214,321,737,379,358,727,374,353,609,331,278,58,10,48,5,0,5,55,33,22,10,5,5,2,1,1,6,2,4,0,0,0,2,2,0,471,222,249
33,22,1,1240700,0,0,VILLAGE,Lekkanapatti,Rural,231,1082,566,516,168,100,68,36,21,15,0,0,0,501,310,191,581,256,325,497,322,175,343,257,86,144,118,26,171,118,53,3,3,0,25,18,7,154,65,89,71,22,49,63,24,39,2,2,0,18,17,1,585,244,341
33,22,1,1240800,0,0,VILLAGE,Padipatti,Rural,209,968,492,476,134,62,72,126,69,57,0,0,0,609,360,249,359,132,227,292,269,23,288,268,20,66,66,0,205,190,15,1,1,0,16,11,5,4,1,3,1,1,0,2,0,2,0,0,0,1,0,1,676,223,453
33,22,1,1240900,0,0,VILLAGE,Nanguppatti,Rural,303,1488,729,759,207,104,103,263,131,132,0,0,0,786,459,327,702,270,432,936,448,488,916,441,475,110,96,14,685,270,415,47,30,17,74,45,29,20,7,13,0,0,0,16,5,11,0,0,0,4,2,2,552,281,271
33,22,1,1241000,0,0,VILLAGE,Paiyur,Rural,169,839,395,444,101,48,53,182,87,95,0,0,0,303,165,138,536,230,306,555,267,288,554,267,287,219,183,36,248,55,193,67,16,51,20,13,7,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,284,128,156
33,22,1,1241100,0,0,VILLAGE,Irundirapatti,Rural,589,2856,1404,1452,413,211,202,1058,511,547,0,0,0,1394,826,568,1462,578,884,1683,831,852,1375,792,583,528,282,246,235,110,125,135,95,40,477,305,172,308,39,269,5,2,3,260,29,231,29,2,27,14,6,8,1173,573,600
33,22,1,1241200,0,0,VILLAGE,Tannangudi,Rural,145,737,370,367,106,58,48,182,85,97,0,0,0,261,149,112,476,221,255,521,260,261,520,259,261,7,5,2,454,217,237,9,6,3,50,31,19,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,216,110,106
33,22,1,1241300,0,0,VILLAGE,Easwaran koil,Rural,406,2014,1019,995,364,187,177,407,212,195,0,0,0,820,521,299,1194,498,696,1104,595,509,1050,578,472,212,152,60,732,352,380,7,2,5,99,72,27,54,17,37,3,0,3,47,16,31,1,0,1,3,1,2,910,424,486
33,22,1,1241400,0,0,VILLAGE,Kothirapatti,Rural,695,3348,1667,1681,464,242,222,595,303,292,0,0,0,1973,1187,786,1375,480,895,1650,987,663,1546,980,566,374,238,136,650,372,278,80,54,26,442,316,126,104,7,97,21,0,21,54,2,52,13,0,13,16,5,11,1698,680,1018
